,Paper ID,Abstract
13,d90a246130b16ad42581d2952d226a7c734c16b9,"In this work, we show how to model the group affiliations of social media users using probabilistic soft logic. We consider groups of a broad variety, motivated by ideas from the social sciences on groups and their roles in social identity. By modeling group affiliations, we allow the possibility of efficient higher-level relational reasoning about the groups themselves, where the number of groups is relatively small compared to the number of users. We discuss preliminary results from experiments using real social media data collected from Twitter."
14,3c23566f3bcccaf2e9222349efefd8d720f5c2a3,
15,9c55df67f1b6bbfff49e3874fbbb2fe1421d585f,
16,220d91a876faa7235240bfd514a663151e6ab582,
17,127edcc2c8100ffee778503166fe917eaa9b5df7,
18,a40ea7cd9efed1e8a59657e9857b5c1d76068b8a,"TV series such as HBO’s Game of Thrones have a high number of dedicated followers, mostly due to the dramatic murders of the most important characters. In our work, we try to predict killer and victim pairs using data on previous kills as well as additionalmetadata. We construct a network where two character nodes are linked if one killed the other, then use a link prediction framework to evaluate different techniques for kill predictions. Lastly, we compute various network properties on a social network of characters anduse them as features in conjunction with classic data mining techniques. Due to the small size of the dataset and the somewhatrandom kill distribution, we cannot make accurate predictions with standard indices alone, although using them in conjunction with additional rules based on degrees has yielded results that are more reliable. The features we compute on the social network help theclassic machine learning approaches; however, they do not yield very accurate predictions. The best results overall are achieved using indices that use simple degree information, the best of which result in the Area Under the ROC Curve of 0.875."
19,5f3eeeca03ed21ebf16eeeea7e855cf403a3eb6a,"Since there are 2m distinct ways to assign binary labels to m points, ΠH(m) ≤ 2m. This bound appears to imply that some problems may be unlearnable since ΠH(m) is so large. However, as we discussed in the last lecture, there are cases where ΠH(m) is not exponential. In particular, Sauer’s Lemma shows that if the VC Dimension of H is finite, then ΠH(m) will be polynomial in m. Let us recall the definition of VC Dimension and Sauer’s Lemma."
20,f96f8e5c01e7f77613734f79e754c1f8b0bd5ab8,
21,f246f479a039d7d6ba88394171a86267377bded6,
22,8613781e64ac951a3cb64e9f06c1b154d18a2c6c,
23,a6fe2950fdd3571d61446dd46688952e02ba645f,
24,1f6ec1380ebedb32d165be456afcdc518d4e581d,"—Graph Representation Learning (GRL) has become a key paradigm in network analysis, with a plethora of interdis-ciplinary applications. As the scale of networks increases, most of the widely used learning-based graph representation models also face computational challenges. While there is a recent effort toward designing algorithms that solely deal with scalability issues, most of them behave poorly in terms of accuracy on downstream tasks. In this paper, we aim to study models that balance the trade-off between efﬁciency and accuracy. In particu- lar, we propose N ODE S IG , a scalable model that computes binary node representations. N ODE S IG exploits random walk diffusion probabilities via stable random projections towards efﬁciently computing embeddings in the Hamming space. Our extensive experimental evaluation on various networks has demonstrated that the proposed model achieves a good balance between accuracy and efﬁciency compared to well-known baseline models on the node classiﬁcation and link prediction tasks."
25,9b1075cb3bdbdf5d29539da8074a9670c8c1e5e5,
26,567a558593c8f64b2880f08499bae4fbf4fa612b,
27,5bacedbae9d99a755abbc6b4eb2f849e99311d8d,"We present the nearest subclass classifier (NSC), which is a classification algorithm that unifies the flexibility of the nearest neighbor classifier with the robustness of the nearest mean classifier. The algorithm is based on the maximum variance cluster algorithm and, as such, it belongs to the class of prototype-based classifiers. The variance constraint parameter of the cluster algorithm serves to regularize the classifier, that is, to prevent overfitting. With a low variance constraint value, the classifier turns into the nearest neighbor classifier and, with a high variance parameter, it becomes the nearest mean classifier with the respective properties. In other words, the number of prototypes ranges from the whole training set to only one per class. In the experiments, we compared the NSC with regard to its performance and data set compression ratio to several other prototype-based methods. On several data sets, the NSC performed similarly to the k-nearest neighbor classifier, which is a well-established classifier in many domains. Also concerning storage requirements and classification speed, the NSC has favorable properties, so it gives a good compromise between classification performance and efficiency."
28,bece040dbbf032cfdb8695ef080f43c7324eefd4,"What role does the Internet play in mobilizing participants in days of action? Although most research has focused on the way that computer-mediated communication is changing transnational collective action, it is unclear how social movement reliance on this new form of communication is modifying protest within nation-states. This paper analyses how participants in a national day of action in the United States were mobilized, focusing on the role that the Internet played. We find that a very high percentage of participants in all cities heard about the day of action through e-mail lists or websites. Those who mobilized through the Internet, however, were very different from those who mobilized through personal and organizational ties. In particular, the participants who heard about the event through all channels of mediated communication – including the Internet – were much more likely to come to the event alone than those who heard about it through their social networks. The paper concludes by discussing the implications of our findings to collective action and civic participation in the digital age."
29,652031886b209dadd941664b6136192fdc51aa08,
30,0104cb3aa9f91d56877d9dbfd20ec22617406bb2,
31,d7b0c9f213ca816809a2fddd89ed417dc8dc3c88,"The ability to estimate network latencies between arbitrary Internet end hosts would enable new measurement studies and applications, such as investigating routing path inefficiencies on a wide-scale or constructing topologically sensitive overlay networks. In this paper we present King, a tool that accurately and quickly estimates the latency between arbitrary end hosts by using recursive DNS queries in a novel way. Compared to previous approaches, King has several advantages. Unlike IDMaps, King does not require the deployment of additional infrastructure, and unlike GNP, King does not require end hosts to agree upon a set of reference points. Unlike both IDMaps and GNP, King's estimates are based on direct online measurements rather than offline extrapolation. Because King uses existing DNS infrastructure, King scales naturally both in terms of the number of hosts that can be measured and in terms of the number of hosts performing measurements.After describing the techniques used in King, we present an extensive evaluation and analysis of the accuracy and consistency of our tool. Specifically, our evaluation shows that the accuracy of King is significantly better than the accuracy of IDMaps, and that King tends to preserve order among its latency estimates. Finally, we describe a variety of measurement studies and applications that could benefit from our tool, and present results from one such measurement study."
32,4b7666684cdc0da667983291f7f677eb972fd4c5,"The Workshop Program of the Association for the Advancement of Artificial Intelligence’s 12th International Conference on Web and Social Media (AAAI-18) was held at Stanford University, Stanford, California USA, on Monday, June 25, 2018. There were fourteen workshops in the program: Algorithmic Personalization and News: Risks and Opportunities; Beyond Online Data: Tackling Challenging Social Science Questions; Bridging the Gaps: Social Media, Use and Well-Being; Chatbot; Data-Driven Personas and Human-Driven Analytics: Automating Customer Insights in the Era of Social Media;  Designed Data for Bridging the Lab and the Field: Tools, Methods, and Challenges in Social Media Experiments; Emoji Understanding and Applications in Social Media; Event Analytics Using Social Media Data; Exploring Ethical Trade-Offs in Social Media Research; Making Sense of Online Data for Population Research; News and Public Opinion; Social Media and Health: A Focus on Methods for Linking Online and Offline Data; Social Web for Environmental and Ecological Monitoring and The ICWSM Science Slam. Workshops were held on the first day of the conference. Workshop participants met and discussed issues with a selected focus — providing an informal setting for active exchange among researchers, developers, and users on topics of current interest. Organizers from nine of the  workshops submitted reports, which are reproduced in this report. Brief summaries of the other five workshops have been reproduced from their website descriptions."
33,2be7639feaa77668e5896e5fd647dc99e0942709,"Increasing policy support for community participation in natural resources management has been challenged by questions about the feasibility, risks and results of such approaches. The application of participatory approaches for improving basin-scale water governance should be considered in light of critical analysis of community-based natural resources management and institutional design principles for common-property resources management. Problems of conflicting interests and contextual contingency (politics and history) illustrate the need for revising assumptions and expectations. A community perspective on principles for institutional design leads to distinct priorities for improving basin water allocation. Measures to support community involvement in basin water governance – such as legislative reform, legal empowerment, networking, advocacy, participatory planning, technical advice and facilitation – should be formulated to fit community priorities for negotiating rights to water."
34,ec2e341e0f5882038e8ad252ef53c5cd0a052ac3,
35,4eb6a911e15deb13e6a7109b98e3d61163982741,
36,dbb321161d30dee6bba286169a2a03ba9d01cdfc,"Matching the profiles of a user across multiple online social networks brings opportunities for new services and applications as well as new insights on user online behavior, yet it raises serious privacy concerns. Prior literature has showed that it is possible to accurately match profiles, but their evaluation focused only on sampled datasets. In this paper, we study the extent to which we can reliably match profiles in practice, across real-world social networks, by exploiting public attributes, i.e., information users publicly provide about themselves. Today's social networks have hundreds of millions of users, which brings completely new challenges as a reliable matching scheme must identify the correct matching profile out of the millions of possible profiles. We first define a set of properties for profile attributes--Availability, Consistency, non-Impersonability, and Discriminability (ACID)--that are both necessary and sufficient to determine the reliability of a matching scheme. Using these properties, we propose a method to evaluate the accuracy of matching schemes in real practical cases. Our results show that the accuracy in practice is significantly lower than the one reported in prior literature. When considering entire social networks, there is a non-negligible number of profiles that belong to different users but have similar attributes, which leads to many false matches. Our paper sheds light on the limits of matching profiles in the real world and illustrates the correct methodology to evaluate matching schemes in realistic scenarios."
37,3fb5dabc734f8511cb5c78ecc2d1d4a3327de7ba,"Recent studies have shown that the stricter content moderation policies imposed by mainstream social networking sites (SNSs) stimulated the growth of low-moderated but relatively open discussion platforms such as Telegram. Despite Telegram’s growing popularity among (deplatformed) digital exiles, and high potential for news dissemination, information consumption, mobilization, and radicalization, little is known about information flows with respect to politically and socially relevant topics within the Telegramsphere. We scrutinize the Telegramsphere as an information-sharing ecosystem of current affairs by uncovering how information flows indicated by content-overlap and shared users influenced the structure of Telegram networks and shaped communities over time. Using state-of-the-art web-mining, neural topic modeling, and social network analysis techniques on a unique data set that spans the full messaging history (N = 2,033,661) of 174 Dutch-language public Telegram chats/channels, we show that over time, conspiracy-themed, far-right activist, and COVID-19-sceptical communities dominated the Dutch Telegramsphere of current affairs. Our findings raise concerns with respect to Telegram’s polarization and radicalization capacity in the context of consuming socially and politically relevant information online. [ FROM AUTHOR]"
38,569d4a6b90b0abf72a7ebd6c117b48ea42c7e754,"We study the strength of the genetic barrier to neutral gene flow in a general one‐locus, two‐allele model that includes viability selection as well as fertility selection and premating isolation. We have separately considered adult migration and pollen migration. Our theoretical results suggest that selection against hybrid formation in the form of fertility selection or assortative mating is more effective in preventing introgression of neutral alleles than is reduction in hybrid viability. We argue that in experimental studies of introgression testing of F1 hybrids is as important as testing of parental forms. To illustrate the utility of this approach, we estimate the strength of the barrier to neutral gene flow between Piriqueta caroliniana and P. viridis, between Iris hexagona and I. fulva, and between Chorthippus brunneus and C. biguttulus."
39,9323f0295a2aaf37bf4fab99739f00d91641c4c9,
40,ff85a780183278bfaf0094bab610226c9a769671,"Activity on social media is seen as a relevant sensor for different aspects of the society. In a heavily digitized society, security vulnerabilities pose a significant threat that is publicly discussed on social media. This study presents a comparison of user-generated content related to security vulnerabilities on three digital platforms: two social media conversation channels (Reddit and Twitter) and a collaborative software development platform (GitHub). Our data analysis shows that while more security vulnerabilities are discussed on Twitter, relevant conversations go viral earlier on Reddit. We show that the two social media platforms can be used to accurately predict activity on GitHub. CCS CONCEPTS • Networks → Online social networks; • Theory of computation → Social networks."
41,a6419a4e05adfb5d80a1399532741e7fe84850e2,"This article integrates priming and framing into a cognitive-processing model that illustrates how the effects of watching a presidential debate might be influenced by a priming message as it interacts with an individual’s schema. We examine how the frame of postdebate news analysis primes audience reflection on a previously viewed segment from the 2004 presidential debates (a process we identify as ‘‘primed reflection’’). Results show that the influence of postdebate news analysis is a function of the interaction between the news-analysis frame (policy vs. performance) and the individual-level factors, namely, political knowledge and propensity to reflect on media content."
42,9988b88910c69157b0213b10376fb0b932bc1198,
43,30d8e9602ea5ac4104331dfe78c0a3832ff5f72b,
44,0e912c44311c96e433a10bb74aa7837a48b49004,
45,1784ba33e46e7a6eae8e7b541aad6189c619351d,
46,5307c330b1b9d0eec8d9538530154cb2669e93f4,
47,20394c89e24d9060ecc69b8a58bdab7833c5b5bd,"This chapter contains sections titled: The Need for a Unifying Framework, Markov Networks, First-order Logic, Markov Logic, SRL Approaches, SRL Tasks, Inference, Learning, Experiments, Conclusion, Acknowledgments, References"
48,2a532f627b2e1f6db278a938cd71d489721f13dc,
49,d26ba6ce75df5e3549e04edd32d8dddc01fc0cf5,
